Date,ID,Content,Likes,politician,party,ideology_num,tone_label
2022-10-25 13:50:21+00:00,1584905203320426496,"Alla fine di questa avventura a me interesserà una sola cosa: sapere che abbiamo fatto tutto quello che potevamo per dare agli italiani una Nazione migliore. State certi che non ci arrenderemo, non indietreggeremo e non tradiremo. https://t.co/SSHSbLKLFQ",10836,Meloni,FdI,3,Call to Action / Propaganda
2021-01-19 21:56:41+00:00,1351649807501299713,"#Salvini: Ho ricordato all’avvocato Conte che mettere sullo stesso piano USA e Cina, come ha fatto lui, è follia. La prima è una grande democrazia, la seconda una spietata dittatura. #Cartabianca https://t.co/ieOZ8knO2y",1161,Salvini,Lega,3,Critical / Angry
2021-10-20 11:35:18+00:00,1450787707022630918,"Dobbiamo spingere sulla ripartenza. Dobbiamo correre veloci, facendo investimenti intelligenti, strategici e sostenibili. Serve coraggio.",726,Conte,M5S,0,Call to Action / Propaganda
2022-09-07 10:21:03+00:00,1567457912909402113,"Si mettano l’animo in pace: il #25settembre, se gli italiani lo vorranno, si volterà pagina.",597,Meloni,FdI,3,Call to Action / Propaganda
2022-04-20 07:23:08+00:00,1516678839488888833,L’#Ucraina nella #UE? Per le scelte e la storia di domani serve una Confederazione europea https://t.co/GYPGHSdbty,291,Letta,PD,0,Neutral / Informational
2022-04-12 09:03:08+00:00,1513804900983054340,La crisi Ucraina evidenzia i limiti del bipopulismo. I 5S sono tornati ad essere quelli del no a tutto; Lega e FDI sono distanti dalle posizioni europee di Forza Italia e litigano tra di loro ogni giorno. L’unica soluzione è costruire un polo della serietà e del buon governo.,488,Calenda,Azione,0,Critical / Angry
2022-12-01 13:10:25+00:00,1598303505819000833,"Sono intervenuto in aula per chiedere al Governo di ripristinare l’unità di missione sul dissesto idrogeologico che Conte ha vergognosamente chiuso. Qui il
video del mio intervento
https://t.co/3IhdTRcSEY",1368,Renzi,IV,0,Neutral / Informational
2021-03-02 09:22:25+00:00,1366680279981654016,La nomina del Generale #Figliuolo è una vittoria politica di @forza_italia. Ora serve un cambio di passo sul fronte #vaccini. https://t.co/UVUDVLk2jz,88,Tajani,FI,3,Supportive / Positive / Celebratory
2022-08-27 13:27:53+00:00,1563518667685765123,Con quale credibilità chi trentasette giorni fa ha fatto cadere il Governo Draghi pretende oggi dal Governo Draghi misure per la crisi energetica? #Salvini #Berlusconi #Conte,4043,Letta,PD,0,Critical / Angry
2021-04-09 17:49:21+00:00,1380578596385746944,"Stefano, beh ti dirò da qualche parte però si. Anche perché altrimenti diventano tutte note di colore o cronache di conflitti politici. Detto questo ti ripeto, ogni tanto mi diverto, tra un piano e una proposta seria. E la critica ci sta. Ma è tutto meno soppesato di come pensi.",105,Calenda,Azione,0,Neutral / Informational
