Date,ID,Content,Likes,politician,party,ideology_num
2021-04-26 18:56:52+00:00,1386756179381080068,"Fuori dal recinto. Intervista a Nicola Fratoianni
#governo #sinistra #Draghi #Pd #M5S #Recovery #diritti 
https://t.co/et6qULNNe5",23,Fratoianni,EV,0
2022-06-07 18:12:55+00:00,1534236978522333186,@UnaDonnaPdR @OGiannino @marattin @matteorenzi Poi però mi raccomando. Torna a tuonare sui valori inderogabili della democrazia dal tuo account.,1,Calenda,Azione,0
2022-04-27 07:25:05+00:00,1519216045168508930,"Ho chiesto un incontro urgente al ministro Cartabia, bisogna intervenire subito per aiutare e proteggere gli agenti della Penitenziaria.
https://t.co/8dkY9zhd7p",211,Salvini,Lega,3
2021-02-12 08:53:30+00:00,1360150022915051521,"Tutto ciò che Draghi ha detto, dall'europeismo all'atlantismo, dalla scelta di lavorare sugli investimenti e di cambiare approccio sui vaccini, ci ha visto entusiasti sostenitori. L'idea che chi deciderà gli investimenti sia Mario Draghi fa tirare un sospiro di sollievo a tutti",214,Renzi,IV,0
2022-08-23 15:14:29+00:00,1562095941066575872,"Ha ragione la madre di Giovanni, la soldatessa Usa sia processata in Italia.
Se la ministra Cartabia rinunciasse all’azione penale sarebbe un’ingiustizia. Lo Stato ha il dovere di tutelare i cittadini 
#Porcia #soldatessa 

https://t.co/BOHKlrf9sg https://t.co/eLPLjDnAW2",181,Fratoianni,EV,0
2022-04-07 15:47:59+00:00,1512094847850663957,@alba54239901 Alba fai benissimo a sognarlo. E credimi vorrei che lo fosse e mi batterò per renderlo possibile al più presto. Ma il mio lavoro è questo. Non illudere le persone per prendere tre like,5,Calenda,Azione,0
2022-10-26 19:02:22+00:00,1585346114152120320,Anche il Senato ha votato #fiducia al Governo. Abbiamo presentato in campagna elettorale un programma chiaro e dettagliato. Manterremo gli impegni: il vincolo tra rappresentante e rappresentato è l’essenza della democrazia. Subito al lavoro per rispondere alle urgenze dell’Italia https://t.co/qwVjskLZ1w,10760,Meloni,FdI,3
2021-05-25 22:04:55+00:00,1397312753115742213,"Ieri l’Italia, col verdetto sul processo per le minacce a @robertosaviano @RosCapacchione, ha detto al mondo: “le intimidazioni mafiose, a maggior ragione in un’aula di giustizia, non sono consentite”. #dimartedì",227,Letta,PD,0
2022-09-01 10:49:18+00:00,1565290698043179015,"Choc a Manfredonia, sparatoria terrorizza il luna park: “È stato un incubo”. 
Le indagini sono in corso ma l’emergenza sicurezza è all’occhio di tutti: occorre intervenire, in tutta Italia, in fretta. Più Forze dell’Ordine è più telecamere, basta volerlo. https://t.co/Qw0HPysx8i",278,Salvini,Lega,3
2021-08-29 14:51:06+00:00,1431992813948968966,"Ecco il simbolo per le suppletive nelle province di Siena e Arezzo. Scelto per privilegiare #allargamento e spirito di #coalizione. E Salvini che annuncia una nuova calata, con visite in ogni comune del collegio? Bene. Come già l’anno scorso alle regionali in Emilia e Toscana. https://t.co/hMbHQ6gPPP",587,Letta,PD,0
2022-08-07 13:10:57+00:00,1556266648969117696,"Fermare le partenze dei barconi, in accordo con le autorità nordafricane, è l’unica strada per ripristinare il rispetto delle regole e fermare le morti in mare. 
Siamo pronti a difendere i confini dell’Italia e dell’Europa. https://t.co/S8AyEyRIpZ",1147,Meloni,FdI,3
2022-04-27 16:39:03+00:00,1519355454949896192,Il #cognome del padre non è più automatico. Sarà frutto di una scelta. Una decisione storica di #parità. L’Italia è più giusta.,4908,Letta,PD,0
2021-09-20 12:01:29+00:00,1439922659719004167,E completiamo il decreto sulle delocalizzazioni preparato dal Ministro @AndreaOrlandosp e dalla viceministra @Ale_ToddeM5S,585,Conte,M5S,0
2021-04-17 17:57:48+00:00,1383479825847910402,"Palermo, ci rivediamo presto.
A testa alta. #primalitalia 🇮🇹 https://t.co/b4qY3IgT44",721,Salvini,Lega,3
2021-03-01 19:50:43+00:00,1366476010917666817,In #Congo bisogna agire con una presenza militare e diplomatica coordinata anche con gli Usa. Dobbiamo arginare gli interessi della Cina che mirano a sfruttare le risorse del continente africano. Facciamo in modo che la morte di Attanasio e Iacovacci non sia stata vana. @EPPGroup,28,Tajani,FI,3
2022-09-02 08:52:47+00:00,1565623763865112576,"La moglie di Clinton: “Italiani, non cedete ai populismi e alle ingerenze esterne”. Dice dall’estero…
Si commenta da sola🤣 https://t.co/LSmsOZHjWq",1358,Salvini,Lega,3
